# Datos del PDF: TABLA PRESTAMOS CREDICUENTA - CALCULO VALES
# COLUMNA SOCIO = Pago Asociado
# COLUMNA CLIENTE = Pago Cliente

Monto | Pago_Asociado | Pago_Cliente | Comisión
3000  | 337           | 392          | 55
4000  | 446           | 510          | 64
5000  | 553           | 633          | 80
6000  | 662           | 752          | 90
7000  | 770           | 882          | 112
8000  | 878           | 1006         | 128
9000  | 987           | 1131         | 144
10000 | 1095          | 1255         | 160
11000 | 1215          | 1385         | 170
12000 | 1324          | 1504         | 180
13000 | 1432          | 1634         | 202
14000 | 1541          | 1765         | 224
15000 | 1648          | 1888         | 240
16000 | 1756          | 2012         | 256
17000 | 1865          | 2137         | 272
18000 | 1974          | 2262         | 288
19000 | 2082          | 2386         | 304
20000 | 2190          | 2510         | 320
21000 | 2310          | 2640         | 330
22000 | 2419          | 2759         | 340
23000 | 2527          | 2889         | 362
24000 | 2636          | 3020         | 384
25000 | 2743          | 3143         | 400
26000 | 2851          | 3267         | 416
27000 | 2960          | 3392         | 432
28000 | 3069          | 3517         | 448
29000 | 3177          | 3641         | 464
30000 | 3285          | 3765         | 480
